Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,FALSE
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,FALSE
Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,FALSE
VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,FALSE
Charmander,Fire,,309,39,52,43,60,50,65,1,FALSE
Charmeleon,Fire,,405,58,64,58,80,65,80,1,FALSE
Charizard,Fire,Flying,534,78,84,78,109,85,100,1,FALSE
CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,FALSE
CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,FALSE
Squirtle,Water,,314,44,48,65,50,64,43,1,FALSE
Wartortle,Water,,405,59,63,80,65,80,58,1,FALSE
Blastoise,Water,,530,79,83,100,85,105,78,1,FALSE
BlastoiseMega Blastoise,Water,,630,79,103,120,135,115,78,1,FALSE
Caterpie,Bug,,195,45,30,35,20,20,45,1,FALSE
Metapod,Bug,,205,50,20,55,25,25,30,1,FALSE
Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,FALSE
Weedle,Bug,Poison,195,40,35,30,20,20,50,1,FALSE
Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,FALSE
Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,FALSE
BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,FALSE
Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,FALSE
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,FALSE
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,FALSE
PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,FALSE
Rattata,Normal,,253,30,56,35,25,35,72,1,FALSE
Raticate,Normal,,413,55,81,60,50,70,97,1,FALSE
Spearow,Normal,Flying,262,40,60,30,31,31,70,1,FALSE
Fearow,Normal,Flying,442,65,90,65,61,61,100,1,FALSE
Ekans,Poison,,288,35,60,44,40,54,55,1,FALSE
Arbok,Poison,,438,60,85,69,65,79,80,1,FALSE
Pikachu,Electric,,320,35,55,40,50,50,90,1,FALSE
Raichu,Electric,,485,60,90,55,90,80,110,1,FALSE
Sandshrew,Ground,,300,50,75,85,20,30,40,1,FALSE
Sandslash,Ground,,450,75,100,110,45,55,65,1,FALSE
Nidoran_,Poison,,275,55,47,52,40,40,41,1,FALSE
Nidorina,Poison,,365,70,62,67,55,55,56,1,FALSE
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,FALSE
Nidoran_,Poison,,273,46,57,40,40,40,50,1,FALSE
Nidorino,Poison,,365,61,72,57,55,55,65,1,FALSE
Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,FALSE
Clefairy,Fairy,,323,70,45,48,60,65,35,1,FALSE
Clefable,Fairy,,483,95,70,73,95,90,60,1,FALSE
Vulpix,Fire,,299,38,41,40,50,65,65,1,FALSE
Ninetales,Fire,,505,73,76,75,81,100,100,1,FALSE
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,FALSE
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,FALSE
Zubat,Poison,Flying,245,40,45,35,30,40,55,1,FALSE
Golbat,Poison,Flying,455,75,80,70,65,75,90,1,FALSE
Oddish,Grass,Poison,320,45,50,55,75,65,30,1,FALSE
Gloom,Grass,Poison,395,60,65,70,85,75,40,1,FALSE
Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,FALSE
Paras,Bug,Grass,285,35,70,55,45,55,25,1,FALSE
Parasect,Bug,Grass,405,60,95,80,60,80,30,1,FALSE
Venonat,Bug,Poison,305,60,55,50,40,55,45,1,FALSE
Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,FALSE
Diglett,Ground,,265,10,55,25,35,45,95,1,FALSE
Dugtrio,Ground,,405,35,80,50,50,70,120,1,FALSE
Meowth,Normal,,290,40,45,35,40,40,90,1,FALSE
Persian,Normal,,440,65,70,60,65,65,115,1,FALSE
Psyduck,Water,,320,50,52,48,65,50,55,1,FALSE
Golduck,Water,,500,80,82,78,95,80,85,1,FALSE
Mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE
Primeape,Fighting,,455,65,105,60,60,70,95,1,FALSE
Growlithe,Fire,,350,55,70,45,70,50,60,1,FALSE
Arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE
Poliwag,Water,,300,40,50,40,40,40,90,1,FALSE
Poliwhirl,Water,,385,65,65,65,50,50,90,1,FALSE
Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE
Abra,Psychic,,310,25,20,15,105,55,90,1,FALSE
Kadabra,Psychic,,400,40,35,30,120,70,105,1,FALSE
Alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE
AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,FALSE
Machop,Fighting,,305,70,80,50,35,35,35,1,FALSE
Machoke,Fighting,,405,80,100,70,50,60,45,1,FALSE
Machamp,Fighting,,505,90,130,80,65,85,55,1,FALSE
Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE
Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE
Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE
Tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE
Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE
Geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE
Graveler,Rock,Ground,390,55,95,115,45,45,35,1,FALSE
Golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE
Ponyta,Fire,,410,50,85,55,65,65,90,1,FALSE
Rapidash,Fire,,500,65,100,70,80,80,105,1,FALSE
Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE
Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE
SlowbroMega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,FALSE
Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE
Magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE
Farfetch'd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE
Doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE
